name,brand,family,release_date,influences,innovation_category,innovation_summary
Baichuan-7B,Baichuan Intelligence,Baichuan,2023-06-15,LLaMA,Bilingual Foundation,Adapted LLaMA-style architecture with bilingual Chinese-English training and expanded vocabulary.
InternLM-7B,Shanghai AI Lab,InternLM,2023-06-23,LLaMA,Bilingual Foundation,Developed an open Chinese-oriented foundation model with multi-stage pretraining and alignment.
Claude 2,Anthropic,Claude,2023-07-11,Claude 1,Context Extension,Expanded Claude with 100k-token context windows and refined constitutional fine-tuning for better reasoning benchmarks.
Llama 2,Meta AI,LLaMA,2023-07-18,LLaMA,Efficient Open Weights,Released open-weight chat and base models with supervised finetuning and RLHF safety alignment.
Qwen 7B,Alibaba Cloud,Qwen,2023-08-03,Chinchilla; LLaMA,Bilingual Foundation,Combined bilingual tokenisation and rotary embeddings for Chinese-English general models.
Mistral 7B,Mistral AI,Mistral,2023-09-27,Chinchilla; LLaMA,Efficient Open Weights,Used sliding-window attention and grouped-query attention for efficient small transformers.
Claude 2.1,Anthropic,Claude,2023-11-21,Claude 2,Enterprise Alignment,Extended Claude context to 200k tokens while improving tool reliability and factual accuracy for enterprise use.
Yi-34B,01.AI,Yi,2023-11-22,Llama 2,Bilingual Foundation,Balanced bilingual datasets with progressive context extension for large open models.
Grok-1,xAI,Grok,2023-11-29,Chinchilla; LLaMA,Efficient Open Weights,Released a 314B-parameter mixture-of-experts model tuned on streaming data for real-time reasoning.
Mixtral 8x7B,Mistral AI,Mixtral,2023-12-11,Mistral 7B; Switch Transformer,Sparse MoE Routing,Combined eight expert blocks with router training to mix efficiency and quality in open weights.
Gemini 1.5 Pro,Google DeepMind,Gemini,2024-02-15,PaLM; GLaM,Multimodal Foundation,Delivered multimodal Pathways models with million-token context windows and streaming attention for long-horizon reasoning.
Mistral Large,Mistral AI,Mistral,2024-02-26,Mistral 7B; Mixtral 8x7B,Aligned Assistants,Scaled a dense 52B transformer with 32k sliding-window attention and tool-calling alignment for enterprise agents.
Claude 3 Haiku,Anthropic,Claude,2024-03-04,Claude 2.1,Multimodal Foundation,Introduced a lightweight Claude 3 tier optimised for fast multimodal inference under constitutional training.
Claude 3 Sonnet,Anthropic,Claude,2024-03-04,Claude 2.1,Multimodal Foundation,Balanced multimodal reasoning and tool orchestration in the mid-tier Claude 3 Sonnet model.
Claude 3 Opus,Anthropic,Claude,2024-03-04,Claude 2.1,Multimodal Foundation,"Delivered the flagship Claude 3 model targeting state-of-the-art reasoning, coding, and multimodal comprehension."
DBRX,Databricks,DBRX,2024-03-27,Mixtral 8x7B; Mistral 7B,Sparse MoE Routing,Open mixture-of-experts model tuned for enterprise retrieval-augmented workloads.
Llama 3,Meta AI,LLaMA,2024-04-18,Llama 2,Efficient Open Weights,"Introduced token-efficient vocabulary, improved data mixtures, and better safety alignment in open weights."
Phi-3 Mini,Microsoft Research,Phi,2024-04-23,GPT-4,Parameter Efficiency,Released lightweight instruction followers distilled from curated synthetic curricula for strong small-model performance.
GPT-4o,OpenAI,GPT,2024-05-13,GPT-4,Multimodal Foundation,"Unified audio, vision, and text understanding in a single end-to-end transformer for realtime multimodal interaction."
Qwen2,Alibaba Cloud,Qwen,2024-06-06,Qwen 7B,Bilingual Foundation,"Refreshed the Qwen architecture with grouped-query attention, 128k context, and reasoning-oriented fine-tuning."
Claude 3.5 Sonnet,Anthropic,Claude,2024-06-20,Claude 3 Sonnet,Tool-Integrated Assistants,"Enhanced tool use, code generation, and creative reasoning with artifact-centric workflows."
Llama 3.1,Meta AI,LLaMA,2024-07-23,Llama 3,Context Extension,"Added multi-token prediction, longer contexts, and improved tool-calling interfaces for open models."
DeepSeek-V2,DeepSeek,DeepSeek,2024-07-29,Mixtral 8x7B; Qwen 7B,Sparse MoE Routing,Released a hybrid dense-sparse mixture with long-context reasoning and open-source weights.
Qwen2.5,Alibaba Cloud,Qwen,2024-09-25,Qwen2,Bilingual Foundation,Expanded multilingual coverage with enhanced long-context scaling and structured reasoning curricula.
Claude 3.5 Haiku,Anthropic,Claude,2024-10-22,Claude 3 Haiku,Tool-Integrated Assistants,Delivered faster multimodal responses with improved memory and planning for lightweight Claude agents.
